               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073364,            0.061549,            0.077091,            0.061226,             0.24402,             0.06971,            0.030972,            0.042635,            0.030646,            0.072482,            0.070029,           0.0033301,           0.0033301
                   1,            0.047206,            0.046617,            0.072694,             0.06135,             0.34623,            0.084121,            0.047041,            0.034059,            0.026804,            0.071351,             0.03783,           0.0044645,           0.0044645
                   2,            0.038218,            0.042132,             0.07209,             0.13055,             0.40081,             0.10738,            0.069023,            0.026792,            0.024312,            0.070466,           0.0034314,           0.0033989,           0.0033989
